#START#1363775900
0,05;2,11;10,08
-0,1;2,13;10,33
1,43;1,35;10,35
0,57;2,09;10,15
0,14;2,11;9,69
0,05;1,71;10,18
-0,46;1,02;10,91
-0,47;0,12;9,08
-0,86;0,17;11,62
-0,39;0,4;12,35
-0,91;0,21;11,67
-1,23;0,34;11,13
-1,54;0,73;10,55
-1,74;1;10,33
-1,92;1,04;10,18
-2,09;0,84;10,13
-2,23;0,48;10,44
-2,4;0,3;11,26
-2,54;0,1;12,13
-2,38;-0,28;12,76
-2,03;-0,64;12,64
-1,8;-0,88;12,28
-1,72;-0,81;11,98
-1,68;-0,61;11,87
-1,63;-0,45;11,33
-1,69;-0,2;10,82
-1,63;-0,03;10,69
-1,61;0,02;10,5
-1,53;0,1;10,48
-1,52;0,26;10,18
-1,47;0,34;10,12
-1,38;0,35;9,64
-1,4;0,32;8,93
-1,48;0,45;8,28
-1,38;0,51;7,8
-1,45;0,47;7,52
-1,35;0,47;7,76
-1,04;0,4;8,04
-0,56;0,28;8,15
-0,08;0,15;8,17
0,27;0,04;7,92
0,39;-0,03;7,75
0,35;0,17;7,32
0,39;0,35;7,22
0,63;0,39;7,17
0,78;0,79;7,81
0,86;1,14;8,04
0,99;1,38;7,97
1,24;1,29;7,58
1,58;1,2;6,88
1,67;1,08;6,11
1,91;1,28;6,99
2,19;1,47;8,07
2,19;1,12;8,54
2,08;1,34;9,6
1,86;1,67;9,69
1,72;2,26;9,87
1,33;2,62;9,7
1,13;2,84;9,42
0,88;3,03;9,17
0,43;3,11;8,72
-0,17;3,21;8,35
-0,48;3,21;8,13
-0,48;3,16;8,17
-0,47;2,81;8,51
-0,67;2,56;8,88
-0,81;1,8;9,7
-0,78;1,81;11,01
-0,49;1,92;11,82
-0,23;1,97;12,77
-0,19;1,69;13,39
-0,72;0,87;13,58
-1,03;0,14;14,37
-1,18;0,15;14,94
-1,35;0,65;14,34
-1,54;0,65;12,74
-1,8;0,36;10,41
-2,02;0,1;8,51
-2,13;-0,11;7,63
-2,21;-0,18;7,58
-2,23;-0,24;8,12
-2,01;-0,3;8,73
-1,86;-0,24;9,14
-1,57;0,04;9,37
-1,19;0,38;9,17
-0,9;0,79;8,75
-0,7;1,21;8,12
-0,57;1,59;7,68
-0,59;1,83;7,61
-0,66;2,11;7,65
-0,79;2,15;7,85
-1,02;2,31;8,1
-1,31;2,22;8,45
-1,58;2,2;8,7
-1,84;2,2;9,02
-1,97;2,18;9,22
-1,78;2,16;9,21
-1,56;2,17;9,14
-1,33;2,11;9,27
-1,24;1,97;9,57
-1,23;1,68;9,94
-1,42;1,69;10,41
-1,36;1,86;10,98
-1;1,74;12,02
-0,64;1,18;13,64
-0,33;0,64;15,13
-0,02;0,42;15,13
0,69;0,24;13,67
1,68;0,07;11,57
2,68;-0,14;9,65
3,16;-0,34;8,35
2,99;-0,34;8,06
2,35;-0,2;8,32
1,18;-0,11;8,74
-0,04;-0,08;9,05
-1,06;-0,08;9,09
-1,59;0,13;8,78
-1,78;0,56;8,24
-1,76;1,08;7,99
-1,5;1,46;7,83
-1,11;1,54;7,65
-0,49;1,7;7,64
0,19;1,88;7,88
0,62;2,08;8,35
0,68;2,08;8,93
0,54;2,17;9,17
0,26;2,23;9,2
0,23;2,29;9,28
0,32;2,42;9,5
0,44;2,52;9,82
0,57;2,4;10,35
0,87;2,15;10,65
1,3;1,82;11,05
1,63;1,55;11,41
1,75;1,43;11,94
1,62;1,13;12,72
1,16;0,45;13,82
0,74;-0,04;15,06
0,57;-0,09;15,66
0,49;0,1;14,76
